status_code,latency_ms,duration_s,rtf,bytes,error,req_id
200,338.9694858342409,7.56,0.0448,362924,,1
200,660.3485229425132,7.56,0.0873,362924,,2
200,643.211635062471,7.56,0.0851,362924,,3
200,640.5189260840416,7.56,0.0847,362924,,4
200,638.8857970014215,7.56,0.0845,362924,,5
200,640.9780408721417,7.56,0.0848,362924,,6
200,642.6494400948286,7.56,0.085,362924,,7
200,640.3590959962457,7.56,0.0847,362924,,8
