status_code,latency_ms,chars_in,chars_out,error,req_id
200,353.2668298576027,120,122,,1
200,705.0396599806845,120,122,,2
200,1055.8490459807217,120,122,,3
200,1404.099851148203,120,122,,4
200,1758.3608510904014,120,122,,5
200,2104.731247993186,120,122,,6
200,2455.9007708448917,120,122,,7
200,2804.122681962326,120,122,,8
