timestamp,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,ram_used_mb
1790155473.092821,100.0,16157.0,59.0,267.66,17672.98046875
1790155473.364123,100.0,16157.0,59.0,267.66,17678.296875
1790155473.6348095,99.0,16157.0,60.0,369.44,17678.58984375
1790155473.9056277,99.0,16157.0,60.0,369.44,17671.76171875
1790155474.1764872,100.0,16157.0,60.0,387.08,17667.76953125
1790155474.4472237,100.0,16157.0,60.0,387.08,17679.11328125
1790155474.7177489,99.0,16157.0,60.0,388.29,17681.50390625
1790155474.9899132,99.0,16157.0,60.0,388.29,17688.59765625
1790155475.2614863,100.0,16157.0,60.0,388.26,17688.41796875
1790155475.5324771,100.0,16157.0,60.0,388.35,17692.16015625
