timestamp,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,ram_used_mb
1790155481.5971475,100.0,16161.0,61.0,265.64,17745.8671875
1790155481.8682427,100.0,16161.0,61.0,265.64,17741.08203125
1790155482.1394475,98.0,16161.0,61.0,365.13,17739.53125
1790155482.4101508,98.0,16161.0,61.0,365.13,17740.08984375
1790155482.6814275,100.0,16161.0,61.0,388.58,17749.16796875
1790155482.9521613,100.0,16161.0,61.0,388.58,17749.77734375
1790155483.2225227,100.0,16161.0,61.0,389.52,17747.03515625
1790155483.492531,100.0,16161.0,61.0,389.52,17748.01953125
1790155483.7639017,100.0,16161.0,62.0,387.45,17780.328125
