timestamp,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,ram_used_mb
1790155468.6924195,93.0,16157.0,58.0,243.56,17652.84765625
1790155468.975316,93.0,16157.0,58.0,243.56,17648.125
1790155469.247603,100.0,16157.0,59.0,347.51,17630.9453125
1790155469.5181134,83.0,16157.0,59.0,380.51,17656.12109375
1790155469.7889862,83.0,16157.0,59.0,380.51,17644.9375
1790155470.0604715,100.0,16157.0,59.0,383.12,17635.79296875
1790155470.3311555,100.0,16157.0,59.0,383.12,17643.96875
1790155470.6023917,81.0,16157.0,59.0,378.9,17661.75390625
1790155470.8747506,81.0,16157.0,59.0,378.9,17668.63671875
1790155471.1463418,100.0,16157.0,59.0,379.83,17677.49609375
