timestamp,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,ram_used_mb
1790155446.5020344,34.0,16151.0,49.0,140.25,18081.296875
1790155446.7709055,16.0,16151.0,49.0,148.35,18097.02734375
1790155447.041211,33.0,16265.0,50.0,155.3,18078.1484375
1790155447.3111804,33.0,16191.0,50.0,155.3,18095.7890625
1790155447.582093,36.0,16171.0,50.0,155.85,18103.0859375
1790155447.8509262,36.0,16151.0,50.0,155.85,18121.4609375
1790155448.1212833,18.0,16323.0,50.0,155.67,18117.67578125
1790155448.3908455,18.0,16193.0,50.0,155.67,18132.40234375
1790155448.6601677,35.0,16171.0,50.0,156.34,18134.1171875
1790155448.9291594,35.0,16151.0,50.0,156.34,18140.75
1790155449.198762,3.0,16151.0,50.0,155.23,18138.265625
