timestamp,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,ram_used_mb
1790155477.4796793,100.0,16157.0,58.0,187.73,17674.27734375
1790155477.751273,100.0,16157.0,60.0,291.77,17665.34375
1790155478.023372,100.0,16157.0,60.0,386.64,17689.1640625
1790155478.294306,100.0,16157.0,60.0,386.64,17689.140625
1790155478.564363,100.0,16157.0,60.0,386.39,17706.4609375
1790155478.835007,100.0,16161.0,60.0,386.39,17717.41796875
1790155479.1059837,100.0,16161.0,61.0,382.49,17723.19140625
1790155479.3764129,100.0,16161.0,61.0,382.49,17722.7578125
1790155479.6483614,100.0,16161.0,61.0,380.49,17731.78515625
