timestamp,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,ram_used_mb
1790155451.1705687,33.0,16151.0,50.0,145.7,18077.59375
1790155451.4396377,33.0,16151.0,50.0,145.7,18044.3125
1790155451.7094815,26.0,16265.0,50.0,152.15,18060.5546875
1790155451.9800315,26.0,16191.0,50.0,152.15,18038.49609375
1790155452.2500196,29.0,16171.0,50.0,156.12,18059.16796875
1790155452.519794,36.0,16151.0,51.0,157.03,18047.5390625
1790155452.7908738,36.0,16323.0,51.0,157.03,18063.96484375
1790155453.060499,13.0,16193.0,51.0,156.2,18040.08984375
1790155453.3298998,13.0,16191.0,51.0,156.2,18040.01171875
1790155453.600231,34.0,16151.0,51.0,157.32,18015.578125
1790155453.869984,34.0,16151.0,51.0,157.32,18002.26171875
