timestamp,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,ram_used_mb
1790155441.81943,4.0,16151.0,47.0,60.01,18004.0078125
1790155442.089132,34.0,16151.0,48.0,87.83,18014.9296875
1790155442.359522,34.0,16265.0,48.0,87.83,18040.515625
1790155442.63062,27.0,16191.0,49.0,153.55,18065.8515625
1790155442.9020643,27.0,16171.0,49.0,153.55,18045.16015625
1790155443.1722023,25.0,16151.0,49.0,154.65,18070.02734375
1790155443.4434268,25.0,16293.0,49.0,154.65,18081.73828125
1790155443.7138443,35.0,16191.0,49.0,155.33,18068.921875
1790155443.9842541,35.0,16171.0,49.0,155.33,18064.84375
1790155444.254356,2.0,16151.0,49.0,154.37,18062.8203125
1790155444.525165,34.0,16323.0,49.0,155.2,18065.7890625
